id|name|type|edition|version|errata_date|errata_link|
000000028|T’au Empire|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_tau_empire-sxhzmfrlud-mpzjzuhupn.pdf|
000000203|Leagues of Votann|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_leagues-of-votann-kpfosalfyb-sbqk309w4w.pdf|
000000015|Adeptus Mechanicus|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_adeptus_mechanicus-nnsofctxvp-ed7amkvryu.pdf|
000000027|Thousand Sons|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_thousand_sons-zha93omuus-lqi5vkrcpq.pdf|
000000014|Death Guard|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_death_guard-etfwxynh2n-uxtkih85rs.pdf|
000000280|Emperor’s Children|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_emperors_children-s7cvl3p8e4-ddwa1akamk.pdf|
000000210|World Eaters|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_world_eaters-5cgvc5tjcb-nipfvwkpo5.pdf|
000000070|Chaos Knights|Faction Pack|11|1.2|28.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_chaos_knights-87ywk2jovh-xk68yzyb18.pdf|
000000025|Chaos Daemons|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_chaos_daemons-lycqqrymwe-qogh4b5yly.pdf|
000000034|Imperial Knights|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_imperial_knights-n1irjnjygs-w8jfnk8kdn.pdf|
000000139|Space Marines|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_space_marines-kxoxqpsahz-u0lzirv0zl.pdf|
000000020|Tyranids|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_tyranids-kbkk66qiwc-nh0khbkupv.pdf|
000000024|Adeptus Custodes|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_adeptus_custodes-9ddgakd3ms-3azheaqd6y.pdf|
000000112|Adepta Sororitas|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_adepta_sororitas-zs0bbbnpdp-ey2x8mavkr.pdf|
000000012|Chaos Space Marines|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_chaos_space_marines-vs0xkzuia9-omgej8huqu.pdf|
000000031|Drukhari|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_drukhari-p7mpvgnmnn-clii96hzh6.pdf|
000000100|Legends: Tyranids|Datasheet|10||17.09.2024 0:00:00|https://assets.warhammer-community.com/warhammer40000_legends_tyranids_eng_24.09-zhzcfdwafm.pdf|
000000162|Black Templars|Faction Pack|11|1.1|22.07.2026 0:00:00|https://assets.warhammer-community.com/eng_22-07_warhammer_40,000_faction_pack_black_templars-inz7wljsdy-badlygdtjm.pdf|
000000335|Death Korps of Krieg|Expansion|10||23.04.2025 0:00:00|https://assets.warhammer-community.com/eng_23-04_warhammer40000_other_rules_astra_militarum_death_korp_of_krieg_datasheet-w4jezt0twq-hdnqb0dxdf.pdf|
000000353|Adepta Sororitas (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000354|Adeptus Custodes (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000355|Chaos Space Marines (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000356|Space Marines (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000357|Chaos Daemons (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000358|Necrons (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000359|Necrons (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000360|Space Wolves (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000362|Space Marines (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000363|Imperial Agents (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000364|Grey Knights (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000365|Grey Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000366|Aeldari (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000367|Aeldari (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000368|Death Guard (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000369|Chaos Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000370|Imperial Knights (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000371|Adeptus Mechanicus (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000373|Dark Angels (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000374|Astra Militarum (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000375|Astra Militarum (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000376|Blood Angels (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000377|Orks (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000378|Orks (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000379|Tyranids (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000380|Tyranids (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000381|T’au Empire (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000382|T’au Empire (Forge World)|Faction Pack|0||01.01.0001 0:00:00||
000000383|Genestealer Cults (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000384|Drukhari (Warhammer Legends)|Faction Pack|0||01.01.0001 0:00:00||
000000387|500 Worlds: Dread Incursions|Expansion|10||01.01.2026 0:00:00||
000000036|Space Wolves|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_space_wolves-pbtnrlz7q6-f0pvbqyejr.pdf|
000000021|Blood Angels|Faction Pack|11|1.0|22.06.2025 0:00:00|https://assets.warhammer-community.com/eng_08-06_warhammer40000_faction_pack_blood_angels-iinnedwcaa-bsyp1349et.pdf|
000000023|Dark Angels|Faction Pack|11|1.2|26.08.2026 0:00:00|https://assets.warhammer-community.com/eng_wh40k_faction_pack_dark_angels-r9vgghuhil-tzntq05hcx.pdf|
000000035|Deathwatch|Faction Pack|10|1.2|12.11.2025 0:00:00|https://assets.warhammer-community.com/eng_12-11_wh40k_faction_pack_deathwatch-fln838xhgr-j2ypjxdmqj.pdf|
000000389|Boarding Actions: Sublime Strike|White Dwarf|10||01.04.2025 0:00:00||
