datasheet_id|line|description|cost|
000000073|1|YOUR UNIT COSTS||
000000073|2|YOUR UNIT COSTS||
000000073|3|1 model|80|
000000073|4|1 model|80|
000000073|5|YOUR UNIT COSTS||
000000073|6|1 model|80|
000000076|1|YOUR UNIT COSTS||
000000076|2|YOUR UNIT COSTS||
000000076|3|1 model|95|
000000076|4|1 model|95|
000000076|5|YOUR UNIT COSTS||
000000076|6|1 model|95|
000000079|1|YOUR UNIT COSTS||
000000079|2|YOUR UNIT COSTS||
000000079|3|1 model| 85|
000000079|4|1 model| 85|
000000079|5|YOUR UNIT COSTS||
000000079|6|1 model| 85|
000000083|1|YOUR UNIT COSTS||
000000083|2|YOUR UNIT COSTS||
000000083|3|1 model|75|
000000083|4|1 model|75|
000000083|5|YOUR UNIT COSTS||
000000083|6|1 model|80|
000000083|7|YOUR UNIT COSTS||
000000083|8|1 model|75|
000000084|1|YOUR UNIT COSTS||
000000084|2|YOUR UNIT COSTS||
000000084|3|1 model|155|
000000084|4|1 model|155|
000000084|5|YOUR UNIT COSTS||
000000084|6|1 model|155|
000000085|1|YOUR UNIT COSTS||
000000085|2|YOUR UNIT COSTS||
000000085|3|1 model|95|
000000085|4|1 model|95|
000000085|5|YOUR UNIT COSTS||
000000085|6|1 model|95|
000000086|1|YOUR UNIT COSTS||
000000086|2|YOUR UNIT COSTS||
000000086|3|1 model|75|
000000086|4|1 model|75|
000000086|5|2 models|150|
000000086|6|2 models|150|
000000086|7|YOUR UNIT COSTS||
000000086|8|1 model|75|
000000086|9|2 models|150|
000000087|1|YOUR 1ST TO 3RD UNITS COST||
000000087|2|YOUR 1ST TO 3RD UNITS COST||
000000087|3|1 model|60|
000000087|4|1 model|60|
000000087|5|YOUR 4TH + UNIT COSTS||
000000087|6|YOUR 4TH + UNIT COSTS||
000000087|7|1 model|70|
000000087|8|1 model|70|
000000087|9|YOUR 1ST TO 3RD UNITS COST||
000000087|10|1 model|60|
000000087|11|YOUR 4TH + UNIT COSTS||
000000087|12|1 model|70|
000000091|1|YOUR 1ST TO 2ND UNITS COST||
000000091|2|YOUR 1ST TO 2ND UNITS COST||
000000091|3|1 model|150|
000000091|4|1 model|150|
000000091|5|YOUR 3RD + UNIT COSTS||
000000091|6|YOUR 3RD + UNIT COSTS||
000000091|7|1 model|160|
000000091|8|1 model|160|
000000091|9|YOUR 1ST TO 2ND UNITS COST||
000000091|10|1 model|150|
000000091|11|YOUR 3RD + UNIT COSTS||
000000091|12|1 model|160|
000000092|1|YOUR UNIT COSTS||
000000092|2|YOUR UNIT COSTS||
000000092|3|1 model|180|
000000092|4|1 model|180|
000000092|5|YOUR UNIT COSTS||
000000092|6|1 model|180|
000000093|1|YOUR UNIT COSTS||
000000093|2|YOUR UNIT COSTS||
000000093|3|1 model|320|
000000093|4|1 model|320|
000000093|5|YOUR UNIT COSTS||
000000093|6|1 model|320|
000000094|1|YOUR UNIT COSTS||
000000094|2|YOUR UNIT COSTS||
000000094|3|1 model|70|
000000094|4|1 model|70|
000000094|5|YOUR UNIT COSTS||
000000094|6|1 model|70|
000000096|1|YOUR UNIT COSTS||
000000096|2|YOUR UNIT COSTS||
000000096|3|1 model|250|
000000096|4|1 model|250|
000000096|5|YOUR UNIT COSTS||
000000096|6|1 model|250|
000000097|1|YOUR UNIT COSTS||
000000097|2|YOUR UNIT COSTS||
000000097|3|1 model|175|
000000097|4|1 model|175|
000000097|5|YOUR UNIT COSTS||
000000097|6|1 model|175|
000000098|1|YOUR UNIT COSTS||
000000098|2|YOUR UNIT COSTS||
000000098|3|1 model|30|
000000098|4|1 model|30|
000000098|5|2 models|60|
000000098|6|2 models|60|
000000098|7|3 models|90|
000000098|8|3 models|90|
000000098|9|YOUR UNIT COSTS||
000000098|10|1 model|30|
000000098|11|2 models|60|
000000098|12|3 models|90|
000000099|1|YOUR UNIT COSTS||
000000099|2|YOUR UNIT COSTS||
000000099|3|1 model|70|
000000099|4|1 model|70|
000000099|5|YOUR UNIT COSTS||
000000099|6|1 model|70|
000000103|1|YOUR 1ST TO 2ND UNITS COST||
000000103|2|YOUR 1ST TO 2ND UNITS COST||
000000103|3|3 models|90|
000000103|4|3 models|90|
000000103|5|6 models|180|
000000103|6|6 models|180|
000000103|7|YOUR 3RD + UNIT COSTS||
000000103|8|YOUR 3RD + UNIT COSTS||
000000103|9|3 models|100|
000000103|10|3 models|100|
000000103|11|6 models|190|
000000103|12|6 models|190|
000000103|13|YOUR 1ST TO 2ND UNITS COST||
000000103|14|3 models|90|
000000103|15|6 models|180|
000000103|16|YOUR 3RD + UNIT COSTS||
000000103|17|3 models|100|
000000103|18|6 models|190|
000000104|1|YOUR UNIT COSTS||
000000104|2|YOUR UNIT COSTS||
000000104|3|5 models|200|
000000104|4|5 models|200|
000000104|5|10 models|400|
000000104|6|10 models|400|
000000104|7|YOUR UNIT COSTS||
000000104|8|5 models|200|
000000104|9|10 models|400|
000000107|1|YOUR UNIT COSTS||
000000107|2|YOUR UNIT COSTS||
000000107|3|1 model|110|
000000107|4|1 model|110|
000000107|5|YOUR UNIT COSTS||
000000107|6|1 model|110|
000000110|1|YOUR UNIT COSTS||
000000110|2|YOUR UNIT COSTS||
000000110|3|1 model|90|
000000110|4|1 model|90|
000000110|5|YOUR UNIT COSTS||
000000110|6|1 model|90|
000000111|1|YOUR UNIT COSTS||
000000111|2|YOUR UNIT COSTS||
000000111|3|1 model|130|
000000111|4|1 model|130|
000000111|5|YOUR UNIT COSTS||
000000111|6|1 model|130|
000000112|1|YOUR UNIT COSTS||
000000112|2|YOUR UNIT COSTS||
000000112|3|1 model|75|
000000112|4|1 model|75|
000000112|5|YOUR UNIT COSTS||
000000112|6|1 model|80|
000000112|7|YOUR UNIT COSTS||
000000112|8|1 model|75|
000000113|1|YOUR UNIT COSTS||
000000113|2|YOUR UNIT COSTS||
000000113|3|1 model|250|
000000113|4|1 model|250|
000000113|5|YOUR UNIT COSTS||
000000113|6|1 model|250|
000000114|1|YOUR 1ST TO 2ND UNITS COST||
000000114|2|YOUR 1ST TO 2ND UNITS COST||
000000114|3|1 model|140|
000000114|4|1 model|140|
000000114|5|YOUR 3RD + UNIT COSTS||
000000114|6|YOUR 3RD + UNIT COSTS||
000000114|7|1 model|150|
000000114|8|1 model|150|
000000114|9|YOUR 1ST TO 2ND UNITS COST||
000000114|10|1 model|140|
000000114|11|YOUR 3RD + UNIT COSTS||
000000114|12|1 model|150|
000000115|1|YOUR UNIT COSTS||
000000115|2|YOUR UNIT COSTS||
000000115|3|1 model|75|
000000115|4|1 model|75|
000000115|5|YOUR UNIT COSTS||
000000115|6|1 model|75|
000000116|1|YOUR UNIT COSTS||
000000116|2|YOUR UNIT COSTS||
000000116|3|1 model|55|
000000116|4|1 model|55|
000000116|5|3 models|80|
000000116|6|3 models|80|
000000116|7|6 models|160|
000000116|8|6 models|160|
000000116|9|YOUR UNIT COSTS||
000000116|10|1 model|55|
000000116|11|3 models|80|
000000116|12|6 models|160|
000000117|1|YOUR UNIT COSTS||
000000117|2|YOUR UNIT COSTS||
000000117|3|1 model|135|
000000117|4|1 model|135|
000000117|5|YOUR UNIT COSTS||
000000117|6|1 model|135|
000000118|1|YOUR UNIT COSTS||
000000118|2|YOUR UNIT COSTS||
000000118|3|5 models|155|
000000118|4|5 models|155|
000000118|5|10 models|310|
000000118|6|10 models|310|
000000118|7|WARGEAR OPTIONS||
000000118|8|WARGEAR OPTIONS||
000000118|9|per Thunder Hammer|5|
000000118|10|per Thunder Hammer|5|
000000118|11|YOUR UNIT COSTS||
000000118|12|5 models|155|
000000118|13|10 models|310|
000000118|14|WARGEAR OPTIONS||
000000118|15|per Thunder Hammer|5|
000000119|1|YOUR UNIT COSTS||
000000119|2|YOUR UNIT COSTS||
000000119|3|1 model|70|
000000119|4|1 model|70|
000000119|5|YOUR UNIT COSTS||
000000119|6|1 model|70|
000000120|1|YOUR UNIT COSTS||
000000120|2|YOUR UNIT COSTS||
000000120|3|1 model|165|
000000120|4|1 model|165|
000000120|5|YOUR UNIT COSTS||
000000120|6|1 model|165|
000000121|1|YOUR UNIT COSTS||
000000121|2|1 model| 105|
000000122|1|YOUR UNIT COSTS||
000000122|2|YOUR UNIT COSTS||
000000122|3|1 model|75|
000000122|4|1 model|75|
000000122|5|YOUR UNIT COSTS||
000000122|6|1 model|75|
000000123|1|YOUR UNIT COSTS||
000000123|2|YOUR UNIT COSTS||
000000123|3|1 model|160|
000000123|4|1 model|160|
000000123|5|YOUR UNIT COSTS||
000000123|6|1 model|160|
000000124|1|YOUR 1ST TO 2ND UNITS COST||
000000124|2|YOUR 1ST TO 2ND UNITS COST||
000000124|3|1 model|105|
000000124|4|1 model|105|
000000124|5|YOUR 3RD + UNIT COSTS||
000000124|6|YOUR 3RD + UNIT COSTS||
000000124|7|1 model|115|
000000124|8|1 model|115|
000000124|9|YOUR 1ST TO 2ND UNITS COST||
000000124|10|1 model|105|
000000124|11|YOUR 3RD + UNIT COSTS||
000000124|12|1 model|115|
000000125|1|YOUR 1ST TO 2ND UNITS COST||
000000125|2|YOUR 1ST TO 2ND UNITS COST||
000000125|3|3 models|125|
000000125|4|3 models|125|
000000125|5|6 models|250|
000000125|6|6 models|250|
000000125|7|YOUR 3RD + UNIT COSTS||
000000125|8|YOUR 3RD + UNIT COSTS||
000000125|9|3 models|140|
000000125|10|3 models|140|
000000125|11|6 models|265|
000000125|12|6 models|265|
000000125|13|YOUR 1ST TO 2ND UNITS COST||
000000125|14|3 models|125|
000000125|15|6 models|250|
000000125|16|YOUR 3RD + UNIT COSTS||
000000125|17|3 models|140|
000000125|18|6 models|265|
000000126|1|YOUR UNIT COSTS||
000000126|2|YOUR UNIT COSTS||
000000126|3|5 models|85|
000000126|4|5 models|85|
000000126|5|10 models|180|
000000126|6|10 models|180|
000000126|7|YOUR UNIT COSTS||
000000126|8|5 models|85|
000000126|9|10 models|180|
000000127|1|YOUR UNIT COSTS||
000000127|2|1 model|85|
000000128|1|YOUR 1ST TO 2ND UNITS COST||
000000128|2|YOUR 1ST TO 2ND UNITS COST||
000000128|3|5 models|110|
000000128|4|5 models|110|
000000128|5|10 models|180|
000000128|6|10 models|180|
000000128|7|YOUR 3RD + UNIT COSTS||
000000128|8|YOUR 3RD + UNIT COSTS||
000000128|9|5 models|120|
000000128|10|5 models|120|
000000128|11|10 models|190|
000000128|12|10 models|190|
000000128|13|YOUR 1ST TO 2ND UNITS COST||
000000128|14|5 models|110|
000000128|15|10 models|180|
000000128|16|YOUR 3RD + UNIT COSTS||
000000128|17|5 models|120|
000000128|18|10 models|190|
000000129|1|YOUR 1ST TO 3RD UNITS COST||
000000129|2|YOUR 1ST TO 3RD UNITS COST||
000000129|3|1 model|85|
000000129|4|1 model|85|
000000129|5|YOUR 4TH + UNIT COSTS||
000000129|6|YOUR 4TH + UNIT COSTS||
000000129|7|1 model|95|
000000129|8|1 model|95|
000000129|9|YOUR 1ST TO 3RD UNITS COST||
000000129|10|1 model|85|
000000129|11|YOUR 4TH + UNIT COSTS||
000000129|12|1 model|95|
000000131|1|YOUR UNIT COSTS||
000000131|2|YOUR UNIT COSTS||
000000131|3|1 model|160|
000000131|4|1 model|160|
000000131|5|YOUR UNIT COSTS||
000000131|6|1 model|160|
000000132|1|YOUR UNIT COSTS||
000000132|2|YOUR UNIT COSTS||
000000132|3|1 model|70|
000000132|4|1 model|70|
000000132|5|YOUR UNIT COSTS||
000000132|6|1 model|70|
000000134|1|YOUR UNIT COSTS||
000000134|2|YOUR UNIT COSTS||
000000134|3|4 models|55|
000000134|4|4 models|55|
000000134|5|YOUR UNIT COSTS||
000000134|6|4 models|55|
000000135|1|YOUR UNIT COSTS||
000000135|2|YOUR UNIT COSTS||
000000135|3|1 model|85|
000000135|4|1 model|85|
000000135|5|YOUR UNIT COSTS||
000000135|6|1 model|85|
000000136|1|YOUR 1ST TO 2ND UNITS COST||
000000136|2|YOUR 1ST TO 2ND UNITS COST||
000000136|3|1 model|150|
000000136|4|1 model|150|
000000136|5|YOUR 3RD + UNIT COSTS||
000000136|6|YOUR 3RD + UNIT COSTS||
000000136|7|1 model|160|
000000136|8|1 model|160|
000000136|9|YOUR 1ST TO 2ND UNITS COST||
000000136|10|1 model|150|
000000136|11|YOUR 3RD + UNIT COSTS||
000000136|12|1 model|160|
000000137|1|YOUR UNIT COSTS||
000000137|2|YOUR UNIT COSTS||
000000137|3|3 models|75|
000000137|4|3 models|75|
000000137|5|6 models|150|
000000137|6|6 models|150|
000000137|7|YOUR UNIT COSTS||
000000137|8|3 models|75|
000000137|9|6 models|150|
000000138|1|YOUR UNIT COSTS||
000000138|2|1 model| 355|
000000139|1|YOUR UNIT COSTS||
000000139|2|YOUR UNIT COSTS||
000000139|3|1 model|840|
000000139|4|1 model|840|
000000139|5|YOUR UNIT COSTS||
000000139|6|1 model|840|
000000140|1|YOUR UNIT COSTS||
000000140|2|YOUR UNIT COSTS||
000000140|3|1 model|55|
000000140|4|1 model|55|
000000140|5|YOUR UNIT COSTS||
000000140|6|1 model|55|
000000146|1|YOUR UNIT COSTS||
000000146|2|YOUR UNIT COSTS||
000000146|3|1 model|100|
000000146|4|1 model|100|
000000146|5|YOUR UNIT COSTS||
000000146|6|1 model|100|
000000147|1|YOUR 1ST TO 2ND UNITS COST||
000000147|2|YOUR 1ST TO 2ND UNITS COST||
000000147|3|5 models|105|
000000147|4|5 models|105|
000000147|5|10 models|210|
000000147|6|10 models|210|
000000147|7|YOUR 3RD + UNIT COSTS||
000000147|8|YOUR 3RD + UNIT COSTS||
000000147|9|5 models|115|
000000147|10|5 models|115|
000000147|11|10 models|220|
000000147|12|10 models|220|
000000147|13|YOUR 1ST TO 2ND UNITS COST||
000000147|14|5 models| 110|
000000147|15|10 models| 220|
000000147|16|YOUR 3RD + UNIT COSTS||
000000147|17|5 models| 120|
000000147|18|10 models| 230|
000000147|19|YOUR 1ST TO 2ND UNITS COST||
000000147|20|5 models|105|
000000147|21|10 models|210|
000000147|22|YOUR 3RD + UNIT COSTS||
000000147|23|5 models|115|
000000147|24|10 models|220|
000000148|1|YOUR UNIT COSTS||
000000148|2|YOUR UNIT COSTS||
000000148|3|1 model|40|
000000148|4|1 model|40|
000000148|5|YOUR UNIT COSTS||
000000148|6|1 model|40|
000000151|1|YOUR UNIT COSTS||
000000151|2|1 model|125|
000000152|1|YOUR UNIT COSTS||
000000152|2|1 model|75|
000000153|1|YOUR UNIT COSTS||
000000153|2|1 model|90|
000000154|1|YOUR UNIT COSTS||
000000154|2|1 model|170|
000000155|1|YOUR UNIT COSTS||
000000155|2|1 model|110|
000000156|1|YOUR UNIT COSTS||
000000156|2|1 model| 120|
000000157|1|YOUR UNIT COSTS||
000000157|2|1 model|85|
000000158|1|YOUR 1ST TO 2ND UNITS COST||
000000158|2|1 model|75|
000000158|3|YOUR 3RD + UNIT COSTS||
000000158|4|1 model|85|
000000160|1|YOUR UNIT COSTS||
000000160|2|1 model|75|
000000164|1|YOUR UNIT COSTS||
000000164|2|1 model|100|
000000165|1|YOUR 1ST TO 2ND UNITS COST||
000000165|2|3 models| 120|
000000165|3|6 models|260|
000000165|4|YOUR 3RD + UNIT COSTS||
000000165|5|3 models| 140|
000000165|6|6 models|280|
000000166|1|YOUR 1ST TO 2ND UNITS COST||
000000166|2|1 model|150|
000000166|3|YOUR 3RD + UNIT COSTS||
000000166|4|1 model|160|
000000167|1|YOUR UNIT COSTS||
000000167|2|1 model|150|
000000168|1|YOUR 1ST TO 2ND UNITS COST||
000000168|2|1 model|125|
000000168|3|YOUR 3RD + UNIT COSTS||
000000168|4|1 model|135|
000000169|1|YOUR UNIT COSTS||
000000169|2|1 model|90|
000000218|1|YOUR UNIT COSTS||
000000218|2|1 model|140|
000000219|1|YOUR UNIT COSTS||
000000219|2|1 model|75|
000000225|1|YOUR UNIT COSTS||
000000225|2|1 model|70|
000000226|1|YOUR UNIT COSTS||
000000226|2|1 model|75|
000000230|1|YOUR UNIT COSTS||
000000230|2|5 models|165|
000000230|3|10 models|330|
000000231|1|YOUR 1ST TO 2ND UNITS COST||
000000231|2|5 models|240|
000000231|3|YOUR 3RD + UNIT COSTS||
000000231|4|5 models|260|
000000238|1|YOUR UNIT COSTS||
000000238|2|1 model| 70|
000000239|1|YOUR UNIT COSTS||
000000239|2|1 model| 180|
000000240|1|YOUR UNIT COSTS||
000000240|2|1 model|200|
000000241|1|YOUR 1ST TO 2ND UNITS COST||
000000241|2|3 models|75|
000000241|3|6 models|150|
000000241|4|YOUR 3RD + UNIT COSTS||
000000241|5|3 models|85|
000000241|6|6 models|160|
000000242|1|YOUR 1ST TO 2ND UNITS COST||
000000242|2|1 model| 130|
000000242|3|YOUR 3RD + UNIT COSTS||
000000242|4|1 model| 140|
000000282|1|YOUR UNIT COSTS||
000000282|2|1 model| 100|
000000283|1|YOUR UNIT COSTS||
000000283|2|1 model|180|
000000284|1|YOUR UNIT COSTS||
000000284|2|1 model|100|
000000285|1|YOUR UNIT COSTS||
000000285|2|1 model| 90|
000000286|1|YOUR UNIT COSTS||
000000286|2|1 model|65|
000000287|1|YOUR UNIT COSTS||
000000287|2|1 model|85|
000000288|1|YOUR UNIT COSTS||
000000288|2|1 model|75|
000000292|1|YOUR UNIT COSTS||
000000292|2|1 model| 75|
000000297|1|YOUR UNIT COSTS||
000000297|2|1 model|70|
000000302|1|YOUR UNIT COSTS||
000000302|2|1 model|160|
000000303|1|YOUR UNIT COSTS||
000000303|2|10 models|135|
000000303|3|20 models|270|
000000304|1|YOUR UNIT COSTS||
000000304|2|1 model|50|
000000305|1|YOUR UNIT COSTS||
000000305|2|10 models|165|
000000306|1|YOUR UNIT COSTS||
000000306|2|1 model| 50|
000000311|1|YOUR 1ST TO 2ND UNITS COST||
000000311|2|5 models|85|
000000311|3|10 models|170|
000000311|4|YOUR 3RD + UNIT COSTS||
000000311|5|5 models|95|
000000311|6|10 models|180|
000000314|1|YOUR UNIT COSTS||
000000314|2|1 model|150|
000000315|1|YOUR UNIT COSTS||
000000315|2|5 models|85|
000000315|3|10 models|170|
000000317|1|YOUR UNIT COSTS||
000000317|2|1 model| 95|
000000318|1|YOUR 1ST TO 2ND UNITS COST||
000000318|2|5 models| 155|
000000318|3|10 models| 310|
000000318|4|YOUR 3RD + UNIT COSTS||
000000318|5|5 models| 195|
000000318|6|10 models| 350|
000000318|7|WARGEAR OPTIONS||
000000318|8|per Storm Shield|5|
000000321|1|YOUR UNIT COSTS||
000000321|2|1 model|250|
000000322|1|YOUR 1ST TO 2ND UNITS COST||
000000322|2|3 models|100|
000000322|3|6 models|200|
000000322|4|YOUR 3RD + UNIT COSTS||
000000322|5|3 models| 130|
000000322|6|6 models| 230|
000000322|7|WARGEAR OPTIONS||
000000322|8|per Storm Shield|5|
