id|name|legend|faction_id|description|
000008340|Fights First|Those possessed of lightning-fast reactions may strike before the opponent can react.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">FIGHTS FIRST<span class="h_number">24.13</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Those possessed of lightning-fast reactions may strike before the opponent can react.</p>While every model in a unit has this ability, that unit is a <b>Fights First</b> unit.<br><br>See the Resolve Fights First Combats step in the Fight phase (<span class="kwn"><a href="/wh40k11ed/the-rules/core-rules/#3.-Fight-Step">12.04</a></span>).</div>|
000008342|Hover|Some airborne vehicles can use vectored thrusters or anti-gravity technology to hover and skim over the battlefield, the better to hunt their prey or deploy embarked troops.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">HOVER<span class="h_number">24.17</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Some airborne vehicles can use vectored thrusters or anti-gravity technology to hover and skim over the battlefield, the better to hunt their prey or deploy embarked troops.</p>Each time this unit <b>takes to the skies</b> (<span class="kwn"><a href="/wh40k11ed/the-rules/core-rules/#Flying-Models">21.03</a></span>), do not subtract 2" from the <b>maximum distance</b>.</div>|
000008343|Deep Strike|There are many ways by which to deploy troops to the field of battle including tunnels, teleportation devices and other esoteric means of transportation.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">DEEP STRIKE<span class="h_number">24.09</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">There are many ways by which to deploy troops to the field of battle including tunnels, teleportation devices and other esoteric means of transportation.</p>Each time this unit makes an <b>ingress move</b> (<span class="tooltip00001" data-tooltip-content="#tooltip_content00001"><span class="tt kwbu">20.04</span></span>), if every model in this unit has this ability, it can be set up anywhere on the battlefield that is more than 8" horizontally from all enemy units, even if that is within your opponent’s deployment zone.</div>|
000008344|Scouts|Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">SCOUTS<span class="h_number">24.31</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.</p>This ability always takes the form <b>Scouts X"</b>. In the Resolve Pre-battle Abilities step, if every model in a unit has this ability, you can do <u>one</u> of the following:<br><ul><li>If that unit is in <b><b><a href="/wh40k11ed/the-rules/core-rules/#Strategic-Reserves">strategic reserves</a></b></b>, you can set up that unit anywhere that is wholly within your deployment zone.</li><li>If that unit is wholly within your deployment zone, it can make a <b>scout move</b> (see below).</li><li>If that unit is embarked within a <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> that is wholly within your deployment zone, and if every model embarked within that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> has the <b>Scouts</b> ability, that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> can make a <b>scout move</b>.</li></ul><br><a id="SCOUT-MOVE" name="SCOUT-MOVE"></a><div class=" BreakInsideAvoid">
<div class="str11Wrap">
<div class="str11BodyWrap">
	<div class="str11HeadBlock str11Name">SCOUT MOVE<span class="h_number">24.32</span></div>
	
</div>
<div class="str11BodyWrap">
	<div class="str11TextWrap">
		
		
		<div class="str11Text"><div class="strGreyBg"><b>MAXIMUM DISTANCE:</b> The <b>X"</b> in <b>Scouts X"</b>.</div><div class="str11Line"></div><b>ELIGIBLE IF:</b> It is the Resolve Pre-battle Abilities step, and your unit is wholly within your deployment zone.<br><div class="str11Line"></div><b>EFFECT:</b> Your unit moves as described in Moving (<span class="kwn"><a href="/wh40k11ed/the-rules/core-rules/#Moving">03</a></span>).<br><div class="str11Line"></div><b>AFTER MOVING:</b> Your unit must be more than 8" horizontally from all enemy units.</div>
	</div>
	<div class="str11Bg str11AMoveBg"><div class="str11Icon str11AMove"></div></div>
</div>
</div></div></div>|
000008345|Infiltrators|Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">INFILTRATORS<span class="h_number">24.20</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.</p>During deployment, if every model in a unit has this ability, it can be set up anywhere on the battlefield that is more than 8" horizontally from your opponent’s deployment zone and all enemy units.</div>|
000008346|Leader|Mighty heroes fight at the forefront of battle.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">LEADER<span class="h_number">24.22</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Mighty heroes fight at the forefront of battle.</p>Before the battle, in the Muster Armies step, for each <b>leader</b> and <b>support</b> unit in your army, you can select one friendly <b><b><a href="/wh40k11ed/the-rules/core-rules/#Attached-Units">bodyguard</a></b></b> unit that unit can <b>lead</b>. That unit will then <b>lead</b> that <b>bodyguard</b> unit for the battle and form an <b><b><a href="/wh40k11ed/the-rules/core-rules/#Attached-Units">attached</a></b></b> unit with it.<br><br>Unless otherwise stated, each <b>bodyguard</b> unit can only have one <b>leader</b> unit and one <b>support</b> unit attached to it.</div>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|DG|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the Hit roll.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the Black Templars, Blood Angels, Dark Angels, Deathwatch or Space Wolves keywords, or one or more units from those factions’ Munitorum Field Manual sections, add 1 to the Wound roll as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|CSM|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the Hit roll.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the Black Templars, Blood Angels, Dark Angels, Deathwatch or Space Wolves keywords, or one or more units from those factions’ Munitorum Field Manual sections, add 1 to the Wound roll as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|SM|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the Hit roll.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the Black Templars, Blood Angels, Dark Angels, Deathwatch or Space Wolves keywords, or one or more units from those factions’ Munitorum Field Manual sections, add 1 to the Wound roll as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|WE|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the Hit roll.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the Black Templars, Blood Angels, Dark Angels, Deathwatch or Space Wolves keywords, or one or more units from those factions’ Munitorum Field Manual sections, add 1 to the Wound roll as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foe’s forces are laid waste with horrifying speed, until the Emperor’s Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|TS|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the Hit roll.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the Black Templars, Blood Angels, Dark Angels, Deathwatch or Space Wolves keywords, or one or more units from those factions’ Munitorum Field Manual sections, add 1 to the Wound roll as well.</li></ul>|
000008351|Space Marine Chapters||SM|<ul><li>If an <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span> unit has a second Faction keyword on its datasheet, that Faction keyword is the name of that unit’s Chapter. For example, Marneus Calgar has both the <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span> and <span class="kwb">ULTRAMARINES</span> Faction keywords, and is therefore from the Ultramarines Chapter.</li><li>You cannot include units from more than one Chapter in your army.</li><li>If your army includes one or more <span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span> units, it cannot include any Adeptus Astartes Psyker models, and cannot include any of the following models that do not have the Black Templars keyword: Gladiator Lancer; Gladiator Reaper; Gladiator Valiant; Impulsor; Repulsor; Repulsor Executioner.</li><li>If your army includes one or more <span class="kwb">DEATHWATCH</span> units, it cannot include any of the following units: Devastator Squad; Scout Squad; Tactical Squad.</li><li>If your army includes one or more <span class="kwb">SPACE</span> <span class="kwb">WOLVES</span> units, it cannot include any of the following units: Apothecary; Devastator Squad; Tactical Squad.</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|CD|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|WE|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|DG|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|TS|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|QT|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008359|Dark Pacts|Beseeching the Chaos Gods with fanatical fervour, the profane champions of the Heretic Astartes pray for diabolic boons, promising the vilest of offerings in return for their power.|CSM|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, each time a unit with  this ability is selected to shoot or fight, it can make a Dark Pact. If it does, it must first take a Leadership test before any effects of that Dark Pact are resolved; if that test is failed, that unit suffers D3 mortal wounds. Then, select one of the following abilities for that unit’s weapons to gain until the end of the phase:<br><ul><li>[LETHAL HITS]</li><li>[SUSTAINED HITS 1]</li></ul>|
000008360|Cult of the Dark Gods|Some traitors have given themselves entirely to the service of the Dark Gods, and they are so lost to damnation that they barely resemble the warriors they once were.|CSM|If your Army Faction is <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>, you can include any of the following units in your army, and when you do so their Faction keywords are replaced with <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span>:<br><ul><li><ky>Khorne Berzerkers (see World Eaters)</li><li><ky>Rubric Marines (see Thousand Sons)</li><li><ky>Plague Marines (see Death Guard)</li><li><ky>Noise Marines (see Emperor’s Children)</li></ul>The combined points value of such units you can include in your army depends on the battle size, as follows:<br><ul><li><b>Incursion:</b> Up to 250 pts</li><li><b>Strike Force:</b> Up to 500 pts</li><li><b>Onslaught:</b> Up to 750 pts</li></ul>|
000008369|Reanimation Protocols|The Necron dynasties benefit from the nigh-on supernatural technologies that once saw them dominate the galaxy, perhaps the most unsettling of which are their reanimation protocols. Should a Necron be slain, its body becomes wreathed in an eerie glow. Crawling limbs reattach. Sundered torsos and smashed skulls reform amidst emerald sparks. Witch lights flare back to life within dead eye-lenses and the Necron rises again, shambling back into their battle line. Those Necrons too catastrophically damaged to reform vanish instead, teleported away to their tombs for repair. |NEC|If your Army Faction is <span class="kwb">NECRONS</span>, at the end of your Command phase, each friendly unit with this ability that is on the battlefield activates its <b>Reanimation Protocols</b>:<br><ul><li>When a unit’s <b>Reanimation Protocols</b> activate, that unit heals D3 wounds.</li></ul><br><div class="redExample"><b>Example:</b> A unit of Lokhust Destroyers (which have a Wounds characteristic of 3) activates its Reanimation Protocols. The unit had a Starting Strength of 3, but currently contains 2 models, and one of those models has lost 1 wound. A 3 is rolled to see how many wounds are reanimated. The first of these reanimated wounds restores the wounded Lokhust Destroyer back to 3 wounds. The second of these reanimated wounds returns the destroyed Lokhust Destroyer to the battlefield with 1 wound remaining. The third of these reanimated wounds restores one of the remaining lost wounds to the same Lokhust Destroyer that was just returned. The unit now contains 3 models, two of which have 3 wounds remaining and one of which has 2 wounds remaining.</div>|
