faction_id|name|id|cost|detachment|detachment_id|upgrade|legend|description|support_leader|
AC|The Vratine Aquila (Aura)|000009273002|0|Black Ship Guardians|000000910|false|This ancient device is said to have been crafted for use during a vital conclave during the waning days of the Great Crusade, wreathing its bearer in energy veils.|ANATHEMA PSYKANA model only. While a friendly <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 3" of the bearer, models in that unit have a 4+ invulnerable save.||
AC|Inspirational Exemplar|000008930003|10|Auric Champions|000000863|false|Here is a singular being even the mighty Custodians can look up to and be inspired by|Adeptus Custodes model only. The bearer has a Leadership characteristic of 5+. Once per battle, at the start of any phase, you can select one friendly <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit that is Battle-shocked and within 12" of the bearer; that unit is no longer Battle-shocked.||
AC|Mantle of the Emissary|000009264003|0|Voyagers in Darkness|000000909|false|This ancient cloak symbolises its wearer’s dedication to a vision-sent mission from the Emperor, and fills them with overwhelming purpose and determination.|The bearer has an Objective Control characteristic of 5.||
AC|Praesidius|000009987003|25|Lions of the Emperor|000001029|false|Fashioned by the Terran armourer Annah Tsvochakin in the latter years of the 32nd millennium, the stunningly worked Praesidius is a singular artefact. Nestled within its golden form are a series of microshield generators and stealth emitters. Employing a modification of displacer technology, the shield generates small localised displacement bubbles at the point of impact, literally beaming bolts, bullets and the tips of blades harmlessly away from its bearer.|Adeptus Custodes model only. The bearer has the Lone Operative and Stealth abilities.||
AC|Champion of the Imperium|000008921003|25|Talons Of The Emperor|000000861|false|This leader is amongst the finest martial champions in all the Emperor's realm, and their mere presence inspires their followers to remarkable efforts.|ADEPTUS CUSTODES model only. The range of the bearer’s Null Aegis or Deadly Unity ability is increased to 9".||
AC|Augury Uplink|000009753003|35|Solar Spearhead|000000986|false|The war engines of the Adeptus Custodes possess an array of augury equipment that combines to build an intricate picture of the unfolding conflict, enabling the bearer to tap into this accumulated data stream, detect incoming threats and angle their armour to repel the worst of enemy attacks.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. The bearer has the Feel No Pain 5+ ability.||
AC|Efficient Aggression|000011000003|25|Tharanatoi Hammerblow|000001166|false|This heavily armoured commander constantly seeks opportunities to exploit the foe’s show of force, leading advances into the teeth of the enemy where lesser warriors would quail.|ADEPTUS CUSTODES TERMINATOR model only. (Once per turn, per army) In your opponent’s Shooting phase, when an enemy unit has shot, if this unit lost a wound as a result of those attacks, this unit can make a surge move of up to D6+1". ||
AC|Sinister Presence (Aura)|000009273003|0|Black Ship Guardians|000000910|false|So deeply unsettling is the null aura surrounding this warrior that it causes unreasoning paranoia to spread amongst her foes, shattering their focus.|ANATHEMA PSYKANA model only. While an enemy unit is within 6" of the bearer (when measuring this distance, Walls and closed Hatchways are ignored), that unit cannot Seize objective markers and, in your opponent’s Command phase, that unit must take a Battle-shock lest. This Enhancement cannot cause a unit to take two Battle-shock tests in the same phase.||
AC|Auramite Sarcophagus|000010992003|15|Might of the Moritoi|000001164|true|These ancient sarcophagi are hardened with age and threaded with Dark Age mechanisms. When the warrior within slams their metallic form into the foe, they can crack armour, pulverise bone and wreck enemy war machines.|ADEPTUS CUSTODES WALKER unit only. When you target this unit with the Crushing Impact <b>stratagem</b>, that use is -1 <b>CP</b>.||
AC|Psyk-Out Grenades|000010996003|10|Silent Hunters|000001165|true|These small, artificer-wrought explosives are deadly enough to lesser foes. Yet the favoured prey of the Sisters of Silence are excruciated or stunned by the grenades’ psi-refractive particles, convulsing in a vortex of despair.|ANATHEMA PSYKANA unit only.<br><ul><li>This unit has <span class="kwb">EXPLOSIVES</span>.</li><li>When you target this unit with the Explosives <b>stratagem</b>, if you select an enemy <span class="kwb">PSYKER</span> unit, you can re-roll rolls to determine whether that enemy unit suffers a mortal wound.</li></ul>||
AC|Castellan’s Mark|000008395003|20|Shield Host|000000765|false|This finely worked pauldron is awarded to whichever living Custodian currently holds the greatest tally of victories in the Blood Games. The one who bears the Castellan 's Mark is guaranteed to be a superlative strategic genius.|Shield-Captain model only. After both players have deployed their armies, you can select up to two Adeptus Custodes units from your army (excluding Anathema Psykana units) and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.||
AC|Huntress’ Eye|000008926003|15|Null Maiden Vigil|000000862|false|This ancient bionic acts like a miniature animus speculum, focusing the bearers null abilities into a stare that can literally terrify foes to death.|Anathema Psykana model only. In your Command phase, select one enemy unit within 12" of the bearer. That unit must take a Battle-shock test.||
AC|Honoured Fallen (Aura)|000009753004|15|Solar Spearhead|000000986|false|The eldest warriors of the Moritoi are revered champions with centuries of battle experience, and their presence on the battlefield is inspirational.|Adeptus Custodes Vehicle model only. While a friendly Adeptus Custodes Infantry or Adeptus Custodes Mounted unit is within 6" of the bearer, each time a model in that unit makes an attack, re-roll a Hit roll of 1.||
AC|Martial Philosopher|000008930004|30|Auric Champions|000000863|false|Few in the history of the Imperium have been so skilled in reading - and directing- the ebb and flow of battle.|Adeptus Custodes model only. The bearer’s unit is eligible to shoot and/or declare a charge in a turn in which it Fell Back. Once per battle, in your opponent's Movement phase, when an enemy unit ends a Normal, Advance or Fall Back move within 8" of the bearer, if the bearer’s unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6".||
AC|Oblivion Knight|000008926004|25|Null Maiden Vigil|000000862|false|Oblivion Knights are among the most powerful and experienced of the Sisters of Silence. When one leads their sisters in the field, witches must truly beware.|Anathema Psykana model only. While the bearer is leading a unit, each time a model in that unit makes an attack, add 1 to the Hit roll. If that attack targeted an enemy <span class="kwb">PSYKER</span> unit, add 1 to the Wound roll as well.||
AC|Gift of Terran Artifice|000008921004|15|Talons Of The Emperor|000000861|false|This warrior wields a close-quarters weapon crafted by the finest noble artisans of Terra, the workmanship of which is magnificent in its lethality.|ADEPTUS CUSTODES model only. Each time the bearer makes a melee attack, add 1 to the Wound roll.||
AC|Fierce Conqueror|000009987004|15|Lions of the Emperor|000001029|false|This Captain-Commander has trained extensively to face multiple foes at once, knowing that the Custodes will always be outnumbered.|Shield-Captain model only. At the start of the Fight phase, until the end of the phase, add 2 to the Attacks characteristic of melee weapons equipped by the bearer for every 5 enemy models within 6" of the bearer (rounding down).||
AC|From the Hall of Armouries|000008395004|20|Shield Host|000000765|false|The racks of the Adeptus Custodes’ armouries yield up some of the most finely crafted close-quarters weaponry borne by any soldiers of the Imperium.|Shield-Captain model only. Add 1 to the Strength and Damage characteristics of the bearer’s melee weapons.||
AC|Admonimortis|000009987005|30|Lions of the Emperor|000001029|false|A relic of the Dread Host, this towering blade was wrought to make a bloody example of those who dare to set themselves against the might of Terra.|Shield-Captain model only. Improve the Strength characteristic of melee weapons equipped by the bearer by 3, and improve the Armour Penetration and Damage characteristics of those weapons by 1.||
AC|Panoptispex|000008395005|5|Shield Host|000000765|false|This incredibly advanced precursor to Imperial auspicators is able to see through solid objects and into esoteric spectra, meaning no malcontent against the Throne can ever hide from its bearer’s gaze.|Shield-Captain or Blade Champion model only. While the bearer is leading a unit, ranged weapons equipped by models in that unit have the [IGNORES cover] ability.||
AC|Veteran of the Kataphraktoi|000009753005|10|Solar Spearhead|000000986|false|This champion has served amongst the Kataphraktoi and is a master at coordinating swift armoured assaults.|Adeptus Custodes Infantry or Adeptus Custodes Mounted model only. In your Command phase, select one Adeptus Custodes Vehicle or <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">MOUNTED</span> unit within 6" of the bearer. Until the start of your next Command phase, that unit is eligible to shoot in a turn in which it Fell Back.||
AC|Raptor Blade|000008926005|5|Null Maiden Vigil|000000862|false|The Raptor Blade is an ancient relic of the Null Maidens, as razor sharp now as it was on the day of its forging and ever the bane of witches.|Anathema Psykana model only. Add 1 to the Attacks, Strength and Damage characteristics of the bearers melee weapons. While the bearer is within Engagement Range of one or more enemy <span class="kwb">PSYKER</span> units that are Battle-shocked, add 2 to the Attacks, Strength and Damage characteristics of the bearer’s melee weapons instead.||
AC|Veiled Blade|000008930005|25|Auric Champions|000000863|false|Said to have been fashioned for dark deeds during the Horus Heresy, this blade is an icon of vengeance.|Adeptus Custodes model only. Add 2 to the Attacks characteristic of the bearers melee weapons. Once per battle, at the start of any Command phase, triple the bearer’s Objective Control characteristic until the end of the turn.||
AC|Radiant Mantle|000008921005|30|Talons Of The Emperor|000000861|false|The golden glory of the Emperor himself glows around this magnificent warrior like Sol's own fire. Enemies are blinded by its light, forced to recoil in pain and terror.|ADEPTUS CUSTODES model only. Each time an attack targets the bearer’s unit, if the attacking model is within 12", subtract 1 from the Hit roll.||
AdM|Voltagheist Reliquary|000010879002|15|Luminen Auto-choir|000001160|false|The wild voltagheists said to inhabit this holy casket are more aggressive and intrusive than those that guard the Electro-Priests, and surge in interfering pulses that scramble the foe’s sensors.|TECH-PRIEST model only. Enemy units cannot target this unit with <b>snap shooting</b> attacks||
AdM|Admonissor Shunt|000009290002|0|Response Clade|000000913|false|Senior Skitarii officers can be augmented with cybernetic override emitters that release protocol blurts to force compliance from their footsoldiers.|Once per battle, at the start of any phase, if the bearer is on the battlefield, you can select one friendly SKiTARii unit that is Battle-shocked. That unit is no longer Battle-shocked.||
AdM|Explorator Dispensation|000010871002|20|Cohort Acquisitus|000001158|false|Mantled in a susurrus of shrouding code and implanted sensor baffles, this commander has been granted a holy commission to extend their forge world’s influence at the forefront of the Quest for Knowledge.|SKITARII MARSHAL model only. This unit has <b>Infiltrators</b>||
AdM|Mechanicus Locum|000008564002|5|Data-Psalm Conclave|000000821|false|Amongst every congregation of Tech-Priests are masters of arcane knowledge - inspirational leaders of the cybernetic and the mechanical.|TECH-PRIEST model only. The bearer has a Leadership characteristic of 6+ and, once per battle, at the start of any phase, you can select one friendly CULT MECHANICUS unit that is Battle-shocked and within 12" of the bearer. That unit is no longer Battle-shocked.||
AdM|Vingh’s Wafers of Dynamism|000010875002|25|Lords of the Forge|000001159|false|The inimitable holy programming within these doctrina wafers elicits a bullish agility in a Datasmith’s cybernetic wards. So commanded, such robots have scaled rusting piles of shifting scree, bulldozed their way through heretek defences and smashed breaches in space hulk passages.|CYBERNETICA DATASMITH model only. At the start of the first battle round, if this unit is an <b>attached unit</b>, this unit has MOBILE until the end of the battle.||
AdM|Omnicogitator|000010747002|25|Eradication Cohort|000001143|false|This unique tactical-cogitation augmetic provides its bearer with a wealth of situation-appropriate responses in even the most intense battle.|Skitarii Marshal model only. The Conqueror Imperative and Protector Imperative are both active for the bearer’s unit.||
AdM|Remote Lockdown|000009281002|0|Electromartyrs|000000912|false|The Tech-Priest noospherically harmonises with the machine spirit of a nearby hatchway and seeks to render it stubbornly uncompliant to the foe.|Once per battle round, when an enemy unit attempts to operate a Hatchway, if that Hatchway is within 9" of and visible to the bearer, it can use this Enhancement. If it does, it can attempt to prevent that unit from operating that Hatchway as if the bearer was within 1" of that Hatchway.||
AdM|Beseech the Machine Spirits|000009298002|0|Machine Cult|000000914|false|With acts of electroflagellation, the faithful seek the aid of the vessels systems.|At the end of the Move Units step of your Movement phase, the bearer can attempt to operate a Hatchway that is visible to and within 9" of it, instead of one within 1". When doing so, if your opponent attempts to prevent it, add the bearers Toughness characteristic to your result of the roll-off, instead of that of a friendly model within 1" of that Hatchway.||
AdM|Cantic Thrallnet|000008560002|25|Skitarii Hunter Cohort|000000820|false|Proclaimed to be a direct data-link to the will of the Omnissiah himself, this neuro-entanglement matrix allows for hyper-optimised combat cogitation.|SKITARII MARSHAL model only. At the start of the battle round, you can select one friendly SKITARII unit within 12" of the bearer. Until the start of the next battle round, the Protector Imperative and the Conqueror Imperative are both active for that unit.||
AdM|Transoracular Dyad Wafers|000009745002|15|Haloscreed Battle Clade|000000984|false|Inloaded with advanced combat protocols, tactical hymnals and holy autoscripture, these doctrina wafers grant greater autonomy and destructive might to the constructs of the Legio Cybernetica.|Cybernetica Datasmith model only. When the bearer is attached to a Kastelan Robots unit, until the end of the battle, models in that unit gain the <span class="kwb">HALO</span> <span class="kwb">OVERRIDE</span> keyword. That unit cannot be selected when selecting units as part of the Noospheric Transference Detachment rule.||
AdM|Magos|000008568002|10|Explorator Maniple|000000822|false|Magi are masters of fiercely guarded knowledge, pursuing esoteric agendas at all costs. No risk is too great and no gambit too unwise in their ceaseless and predatory acquisition of ancient lore.|TECH-PRIEST model only. At the end of your Command phase, if the bearer is within range of your Acquisition objective marker, roll one D6: on a 4+, you gain 1CP.||
AdM|Necromechanic|000008572002|20|Cohort Cybernetica|000000823|false|The blessed healing of machinery is the sign of a true shepherd of the Omnissiah’s flock.|TECH-PRIEST model only. Once per battle round, when a saving throw made for a friendly LEGIO CYBERNETICA or ADEPTUS MECHANICUS VEHICLE model within 12" of the bearer is failed, the bearer can use this Enhancement. If they do, change the Damage characteristic of that attack to 0.||
AdM|Radial Suffusion|000008385002|25|Rad-Zone Corps|000000762|false|By transmitting their precision battlefield observations, this servant of the Omnissiah ensures the saturation of the enemy position is a creeping curse, spreading a hazardous suffusion towards those foes seeking to outrun the vengeance of the Machine God.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. From the second battle round onwards, when resolving the Fallout effect of the Rad-bombardment Detachment rule, if the bearer is on the battlefield, roll one D6 for each enemy unit within 6" of your opponent’s deployment zone, in addition to those that are within your opponent’s deployment zone.||
AdM|Mantle of the Gnosticarch|000008564003|10|Data-Psalm Conclave|000000821|false|The toughened weave of this hooded robe includes hypo-ceramic threads, thermoplastics and terranic polymers that create a holy shroud capable of resisting the infernos of plasma reactors.|TECH-PRIEST model only. Each time an attack is allocated to the bearer, change the Damage characteristic of that attack to 1.||
AdM|TL-4Ø9|000010875003|30|Lords of the Forge|000001159|false||||
AdM|Harmonic Discordator|000009298003|0|Machine Cult|000000914|false|Voices cyber-modulated to hideously unsettling pitches, the faithful of the Omnissiah weaponise their hymnals.|In the Battle-shock step of your opponents Command phase, if an enemy unit that is below its Starting Strength is within 3" of the bearer, that unit must take a Battle-shock test. If that enemy unit is also Below Half-strength, subtract 1 from that test. This Enhancement cannot cause a unit to take two Battle-shock tests in the same phase.||
AdM|Martial Signatum Amplificator|000010747003|15|Eradication Cohort|000001143|false|This strange device taps into the data-tethers that carry Skitarii command imperatives and disseminates them to other, less soldierly servants of the Omnissiah.|Tech-Priest model only. Models in the bearer’s unit have the Skitarii keyword.||
AdM|Malphonic Susurrus|000008385003|20|Rad-Zone Corps|000000762|false|This master of splintered choruses leads their followers in a projection of clashing frequencies. Scanners and sensoriums trained in their direction are befouled by the disruptive input.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. While the bearer is leading a unit, models in that unit have the Stealth ability.||
AdM|Cognitive Reinforcement|000009745003|30|Haloscreed Battle Clade|000000984|false|From afar, the guiding hand of the Omnissian priesthood allows this warrior to process streams of sensory input and encoded imperatives simultaneously.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only (excluding Cybernetica Datasmith models). The Conqueror Imperative and Protector Imperative are both active for the bearer’s unit.||
AdM|Multi-dimensional Auspex|000009281003|0|Electromartyrs|000000912|false|No physical barrier can deny the omniscient datasight of the Omnissiah and its blessed servants.|Once per battle, in your Shooting phase, when the bearer is selected to shoot, it can use this Enhancement. If it does, until the end of the phase, it can ignore Walls and closed Hatchways for the purposes of determining visibility, and the Range characteristic of ranged weapons it is equipped with is changed to 6".||
AdM|Stealth-Screened Cybercanids|000010871003|15|Cohort Acquisitus|000001158|true|These veteran raiders have been bestowed with rarefied cybernetic mounts that incorporate stealth‑screen projectors, silenced servos, and photo‑adaptive hides, rendering them all but invisible until they near their prey|SERBERYS RAIDERS unit only. This unit has <b>Lone Operative 15"</b>.||
AdM|Genetor|000008568003|20|Explorator Maniple|000000822|false|Cyborg interfaces, genetic manipulation and alchemical behavioural modification are all avenues of interest to Genetors, and their enhanced creations are formidable in protecting their master’s divine work.|TECH-PRIEST model only. While the bearer is leading a unit that is within range of your Acquisition objective marker, models in that unit have a 4+ invulnerable save.||
AdM|Lord of Machines|000008572003|15|Cohort Cybernetica|000000823|false|An intense burst of viral static can overload those machine spirits yoked to the service of the enemy.|TECH-PRIEST model only. Once per turn, at the start of your opponent’s Shooting phase, select one enemy VEHICLE unit within 12" of and visible to the bearer. That unit must take a Leadership test: if that test is passed, until the end of the phase, each time a model in that unit makes an attack, subtract 1 from the Hit roll; if that test is failed, that unit is not eligible to shoot this phase.||
AdM|Electromiasmic Brazier|000010879003|10|Luminen Auto-choir|000001160|false|This ornate brazier emits incense-laced particulate chaff that swirls in glittering veils. The silvered mist is alive with sacred energies that foul attempts to pinpoint the Omnissiah’s faithful.|TECH-PRIEST model only. This unit has <b>Stealth</b>.||
AdM|Optimised Cogitators|000009290003|0|Response Clade|000000913|false|Skitarii Marshals of shipboard clades often share partial data-symbiosis with the master cogitators of the ship they serve on. This allows them to defend their vessel with nigh-instinctive strategic insight.|Once per battle round, when you target the bearer with a Stratagem, that use of that Stratagem costs 1 less CP than normal.||
AdM|Clandestine Infiltrator|000008560003|15|Skitarii Hunter Cohort|000000820|false|Under cover of auspex scramblers, this holy soldier leads their fellows in a stealthy advance.|SKITARII model only. The bearer, and models in any unit they are leading, have the Infiltrators and Scouts 6" abilities.||
AdM|Peerless Eradicator|000008385004|20|Rad-Zone Corps|000000762|false|This perfectionist zealot directs their minions in the rapid and single-minded termination of all enemies of the Omnissiah.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. While the bearer is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.||
AdM|Belicosa-Class Capacitor Vanes|000010747004|25|Eradication Cohort|000001143|false|These slender conductor vanes channel esoteric energies into nearby weapon systems, rendering their machine spirits rapacious and bellicose.|Adeptus Mechanicus model only. Add 6" to the Range characteristic of ranged weapons equipped by models in the bearer’s unit, and add 1 to the Strength characteristic of those weapons.||
AdM|Data-blessed Autosermon|000008564004|15|Data-Psalm Conclave|000000821|false|Struck with an infoload of revelation, truly blessed Tech-Priests will override the sacred canticles to deliver the Machine God’s adaptive wisdom.|TECH-PRIEST model only. Once per battle, at the start of your Command phase, you can select the Benediction of the Omnissiah you did not select at the start of the first battle round. Until the start of your next Command phase, that Benediction of the Omnissiah is active for the bearer’s unit in addition to the one that is currently active for your army.||
AdM|Emotionless Clarity|000008572004|10|Cohort Cybernetica|000000823|false|With a mind unsullied by the passions common to the flesh, a Tech-Priest can entreat the machine spirit of a dying war engine to enact one final triumph.|TECH-PRIEST model only. Once per turn, when a friendly LEGIO CYBERNETICA or ADEPTUS MECHANICUS VEHICLE model with the Deadly Demise ability that is within 12" of the bearer is destroyed, the bearer can use this Enhancement. If it does, do not roll to determine whether any mortal wounds are inflicted as a result of that model’s Deadly Demise ability. Instead, mortal wounds are automatically inflicted.||
AdM|Sanctified Ordnance|000009745004|10|Haloscreed Battle Clade|000000984|false|The ammunition borne to battle by this disciple of the Machine God and those at their command has been subjected to ritual anointings and autosermonic blessings, lending it far greater stability.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. Add 6" to the range characteristic of ranged weapons equipped by models in the bearer’s unit and, each time a Hazardous test is taken for that unit, you can re-roll the result.||
AdM|Logis|000008568004|15|Explorator Maniple|000000822|false|Data-vores and biocogitators, logi amass huge stores of information. They analyse data from thousands of sources, rationalising every weak point the foe has. It is a fool indeed that stands before a logi and their prize.|TECH-PRIEST model only. While the bearer is leading a unit, each time a model in that unit makes an attack that targets a unit within range of your Acquisition objective marker, add 1 to the Hit roll.||
AdM|Veiled Hunter|000008560004|10|Skitarii Hunter Cohort|000000820|false|In silent supplication, a concentrated burst of noospheric negation manifests as a heavy band of shadow. Under this shroud, this commanders warriors obfuscate the foe’s sensors and confuse their strategy.|SKITARII MARSHAL model only. After both players have deployed their armies, you can select up to three SKITARII INFANTRY units from your army and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.||
AdM|Omnissiah’s Fury|000010747005|10|Eradication Cohort|000001143|false|A Skitarii Marshal implanted with this thoracic augmetic feels the Machine God’s molten fury flowing through their veins and out into the weapons they wield in battle.|Skitarii Marshal model only. Add 2 to the Attacks characteristic of melee weapons equipped by the bearer, and improve the Armour Penetration and Damage characteristics of those weapons by 1.||
AdM|Autoclavic Denunciation|000008385005|15|Rad-Zone Corps|000000762|false|This devotee harbours a fanatical hatred of the biological. They have learned the secret weaknesses inherent in all flesh and do not hesitate to exploit them.|<span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model only. Ranged weapons equipped by the bearer have the [ANTI-INFANTRY 2+] and [ANTI-MONSTER 4+] abilities.||
AdM|Battle-sphere Uplink|000008560005|25|Skitarii Hunter Cohort|000000820|false|Tapping into infostacks of data emanating from across the wider battle-sphere, this experienced Skitarius synchronises with the flow of wisdom, drawing upon data that enables near-prophetic reactions.|SKITARII model only. In your Shooting phase, after the bearer’s unit has shot, if it is not within Engagement Range of one or more enemy units, that unit can make a Normal move of up to 6". If it does, until the end of the turn, that unit is not eligible to declare a charge.||
AdM|Inloaded Lethality|000009745005|15|Haloscreed Battle Clade|000000984|false|The ancient noospheric receptors implanted into this field commander enable them to receive constant streams of binharic kill code and static prayer chants, lending them greater strength and martial prowess.|Tech-Priest Dominus or Tech-Priest Manipulus model only. Add 3 to the Attacks characteristic of the bearer’s melee weapons and add 1 to the Damage characteristic of the bearer’s melee weapons.||
AdM|Arch-negator|000008572005|5|Cohort Cybernetica|000000823|false|Feeding magneto-voltaic arcs and deadly frequencies into their weapons, the Tech-Priest is death incarnate to blasphemies against the Machine God.|TECH-PRIEST model only. Ranged weapons equipped by the bearer have the [ANTI-VEHICLE 4+] ability.||
AdM|Artisan|000008568005|10|Explorator Maniple|000000822|false|Artisans create wondrous artefacts of war. They install circuits of such beauty, and capacitor-nodes of such fine calibration, that their machine spirits respond with divine gratitude.|TECH-PRIEST model only. While the bearer is leading a unit that is within range of your Acquisition objective marker, once per phase, you can change the result of one Hit roll, one Wound roll or one saving throw made for that unit to an unmodified 6.||
AdM|Temporcopia|000008564005|20|Data-Psalm Conclave|000000821|false|The Temporcopia is a relic from the Dark Age of Technology that releases a swarm of nano-engineered machines. These invisible devices seek out nearby prey, briefly draining electro-chemical potential before their power expires. Enemy warriors slow and stumble, at the mercy of the Tech-Priest’s bodyguard.|TECH-PRIEST model only. The bearer’s unit has the Fights First ability.||
AE|Infamy (Aura)|000010704002|25|Corsair Coterie|000001136|false|These infamous raiders are rightly feared, and use their reputation to their advantage with easily identifiable armour and insignia.|Anhrathe unit only. While an enemy unit is within 3" of this unit, subtract 1 from the Objective Control characteristic of models in that unit (to a minimum of 1).||
AE|Key of Ghosts|000010649002|20|Serpent’s Brood|000001124|false|This mystic wraithbone implement allows the bearer to slip onto the stage from the Webway even before the curtain’s rise, beginning their performance in full and furious flow.|Harlequins model only (excluding Solitaire models). Models in the bearer’s unit have the Scouts 6" ability.||
AE|Prismatic Garb|000009351002|0|Star-dancer Masque|000000922|false|In the close confines of shipboard war, the bewildering effect of this Harlequin’s domino field is redoubled.|Enemy units cannot fire Overwatch at the bearer.||
AE|Direct Guidance|000009342002|0|Wraiths of the Void|000000921|false|Practised in the arts of warfare amidst tangled corridors and chambers, this seer knows how best to guide their spirit warriors to victory.|At the end of your Movement phase, select one friendly WRAiTH CONSTRUCT unit within 6" of and visible to the bearer. Until the end of the turn, that <span class="kwb">WRAITH</span> <span class="kwb">CONSTRUCT</span> unit is eligible to shoot and declare a charge in a turn in which it Fell Back.||
AE|Lucid Eye|000009923002|30|Seer Council|000001023|false|This helm houses a psychocrystalline weave that aids the wearer in sifting clarity and truth from the myriad ghosts of unrealised futures.|Asuryani Psyker model only. In your Command phase, you can add 1 to or subtract 1 from the value of one Fate dice in your Fate dice pool.||
